Area,Data Collection Year,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Mithpukur,2005,Kachna ,Medium low land,Clay loam ,5.2,3.66,0.21,0.07,5,27.3,0.49,0.5
Mithpukur,2005,Kachna ,Medium low land,Clay loam ,5.4,2.34,0.14,0.23,7,14,0.43,0.57
Pirgacha ,2005,Pirgacha,high ground,loam,4.2,1.53,0.08,0.18,95,3.8,0.23,1.11
Pirgacha ,2005,Pirgacha,high ground,loam,4.6,1.65,0.1,0.28,39.5,11.7,0.21,2.2
Pirgacha ,2005,Pirgacha,high ground,loam,4.6,20.4,0.11,0.3,46.4,31.4,0.43,3
Pirgacha ,2005,Pirgacha,high ground,loam,4.8,1.39,0.06,0.44,62.9,4,0.31,1.76
Pirgacha ,2005,Palashbari,high ground,loam,4.7,1.38,0.11,0.52,18.3,6.4,0.32,0.73
Pirgacha ,2005,Palashbari,high ground,loam,5.2,1.66,0.09,0.3,85.2,2.5,0.31,1.14
Pirgacha ,2005,Palashbari,high ground,loam,4.6,1.76,0.11,0.23,168.4,6.3,0.2,1.13
Pirgacha ,2005,Palashbari,high ground,loam,5.4,1.22,0.08,0.31,50.3,7.2,0.23,0.88
Pirgacha ,2005,Palashbari,high ground,loam,4.7,1.5,0.09,0.22,40.8,11.6,0.27,0.79
Pirgacha ,2005,Palashbari,high ground,loam,5.1,2.02,0.09,0.33,58.8,7.7,0.25,2.95
Pirgacha ,2005,Palashbari,high ground,loam,5.2,1.58,0.09,0.28,77.6,11.9,0.3,1.66
Pirgacha ,2005,Palashbari,high ground,loam,5.4,1.74,0.11,0.61,47.2,13.2,0.34,1.05
Pirgacha ,2005,Berries,high ground,loam,5.3,1.61,0.11,0.16,72.8,14.4,0.23,0.91
Pirgacha ,2005,Berries,high ground,loam,5.5,1.82,0.11,0.21,22.6,41.2,0.36,1.23
Pirgacha ,2005,Berries,high ground,loam,5.6,1.3,0.11,0.21,47.3,24.5,0.2,1.11
Pirgacha ,2005,Gangachara,high ground,loam,5.1,2.34,0.09,0.2,27.7,8.3,0.3,1.76
Pirgacha ,2005,Gangachara,high ground,loam,5.4,2.66,0.1,0.27,21.9,7.6,0.32,0.96
Pirgacha ,2005,Gangachara,high ground,loam,4.9,2,0.09,0.11,12.9,6.1,0.22,0.73
Pirgacha ,2005,Gangachara,high ground,loam,4.7,2.18,0.1,0.09,14.3,15.3,0.28,0.8
Pirgacha ,2005,Gangachara,high ground,loam,4.7,1.81,0.14,0.11,46.2,13.8,0.4,1.31
Pirgacha ,2005,Gangachara,high ground,loam,5.1,2.28,0.1,0.25,22.4,14.8,0.3,0.68
Pirgacha ,2005,Gangachara,high ground,loam,4.8,1.59,0.05,0.21,36.5,8.1,0.3,1.06
Pirgacha ,2005,Gangachara,high ground,loam,4.8,2.71,0.09,0.4,10.4,35.7,0.3,0.97
Pirgacha ,2005,Gangachara,high ground,loam,5.2,1.42,0.09,0.1,6.8,9.1,0.32,0.85
Pirgacha ,2005,Gangachara,high ground,loam,5,1.74,0.11,0.34,25.8,46.1,0.26,0.76
Pirgacha ,2005,Gangachara,high ground,loam,4.7,1.73,0.12,0.15,21.2,3.2,0.32,1.36
Pirgacha ,2005,Gangachara,high ground,loam,4.8,1.27,0.112,0.14,18.7,3.7,0.34,1.4
Pirgacha ,2005,Gangachara,high ground,loam,5,2.06,0.1,0.12,6.5,17.6,0.31,1.51
Pirgacha ,2005,Gangachara,high ground,loam,5.3,2.47,0.1,0.07,6.3,12.6,0.3,0.78
